train_fit,test_fit,train_time_seconds,random_seed
7.798301333112219,16.025277759832118,162.5575487613678,753
13.111013850787163,19.210436366055152,9.571497201919556,458
2.567781872723992,4.2477766514292545,64.02124762535095,466
18.710654723325664,27.837291778707723,8.213374137878418,852
8.505098473710902,13.71776954040178,27.28096890449524,285
18.808704070924218,26.00869263098201,7.460012197494507,544
8.623367226126287,12.091212690005547,31.73309588432312,712
7.96309249843285,13.479529237826883,74.28679394721985,826
13.291545415749928,19.831622753286627,12.551389217376709,876
10.993706983420335,14.321719888727232,24.531076192855835,357
2.1855173103404537,2.5124189141144555,24.009950160980225,106
12.409664586899654,18.71036175729521,22.899457931518555,753
8.597135094073165,13.639715629400062,24.553569793701172,828
10.464933694697706,14.752795966025547,36.29802584648132,101
8.367425085673169,12.519182953178888,33.64202332496643,856
10.742921593987383,15.266683028127561,21.07826280593872,675
8.993807857165422,14.69789376669416,12.206039428710938,838
14.195190573914175,21.421278967497674,33.99974966049194,438
12.876648585353546,19.621940534715794,19.384411811828613,249
8.416976965923471,13.088976443517273,29.73130464553833,166
16.699214079260045,75.83993316317209,38.08811712265015,123
8.921505790589359,14.012286263226372,40.38710808753967,963
8.588240695094612,11.951044860002927,39.68667387962341,630
11.339309258187788,17.113987988888333,38.58110451698303,434
11.95539596818291,16.17891507978871,15.97657322883606,324
12.915403416148479,18.839132253065635,11.891796588897705,684
9.01258812634389,13.88217488434575,29.262563228607178,421
8.761048778282277,12.110735430500863,32.90241861343384,484
18.808704070924218,26.00869263098201,7.195261478424072,131
17.079011819970795,24.140791810416136,64.72049808502197,107
