train_fit,test_fit,train_time_seconds,random_seed
18.907644122891824,27.46141026919229,13.542295932769775,698
21.0784327806988,27.54105524778403,10.304912805557251,77
19.036677645795205,26.701588221918435,10.666857481002808,763
19.72366200157153,27.70374586175827,12.325270891189575,292
18.907644122891824,27.46141026919229,8.509570360183716,378
18.907644122891824,27.46141026919229,8.455769538879395,812
21.0784327806988,27.54105524778403,12.542487144470215,251
18.535647019984612,22.40380431962257,16.100548028945923,345
19.72366200157153,27.70374586175827,9.34900689125061,324
22.277305417776006,30.50480252637081,11.598048686981201,560
20.047412760911133,28.101099180866342,15.5371572971344,820
18.907644122891824,27.46141026919229,9.125278234481812,649
18.838562396677066,25.85107061560313,19.191707134246826,227
19.50295050315085,27.54105524778403,18.652920722961426,533
18.969367885337608,26.034603380364498,13.616159200668335,813
19.434629141537094,26.686120998992774,10.089735984802246,713
19.087465674578297,27.754338298235435,14.588640689849854,4
22.144341438917206,30.36958868791079,19.87218189239502,475
19.216425563668828,27.00276011767856,8.698948383331299,426
20.289423458524443,29.240387411470667,9.48374891281128,987
18.921297987172792,25.73137407082842,16.73381757736206,901
22.301414157235833,30.516629996963854,17.355050325393677,396
22.277305417776006,30.50480252637081,12.200044631958008,560
14.22633391764006,21.441503033544972,13.667336463928223,63
18.535647019984612,22.40380431962257,13.455364465713501,505
19.106148937025083,18.24808719639734,12.218771696090698,848
22.277305417776006,30.50480252637081,12.558252334594727,467
22.720776103858487,30.998389419499837,15.016604661941528,518
20.140050079727743,28.82405272637583,15.985245943069458,810
21.06825446144007,28.36980816947616,17.687568187713623,906
