train_fit,test_fit,train_time_seconds,random_seed
23.100808391908274,22.64331058273815,4.623712778091431,399
14.48929224036863,14.201297700319797,12.573600053787231,211
15.452543056647704,15.137669026622355,12.487475156784058,272
23.100808391908274,22.64331058273815,5.206984996795654,962
15.976629107630007,15.914456137309294,6.9426374435424805,144
16.804666065696956,16.304274525561635,5.326786041259766,958
17.3084997872308,16.855468881627477,5.1988396644592285,875
15.717807972084072,14.856374428179171,8.323384523391724,479
21.037635489099735,20.512074611656324,10.518618822097778,588
16.804666065696956,16.304274525561635,6.91136908531189,258
18.31993658654884,17.751247060952945,5.482316493988037,787
15.372700659102623,14.826232595902605,4.9962334632873535,795
15.361232634050168,14.703988191219077,4.2015838623046875,733
16.804666065696956,16.304274525561635,5.424129962921143,151
16.804666065696956,16.304274525561635,6.182904243469238,299
16.775981489953757,16.27411389987523,6.505443334579468,922
17.077282155659304,16.559385230165116,5.8860673904418945,607
15.346655436481694,14.86109065759259,5.874740123748779,68
14.675790364330103,14.226538514625686,10.480597496032715,318
16.804666065696956,16.304274525561635,4.289676666259766,527
17.3084997872308,16.855468881627477,4.898135423660278,752
15.372700659102623,14.826232595902605,8.821812629699707,66
25.07617928548358,24.86333498027695,4.840420484542847,502
16.804666065696956,16.304274525561635,6.579083681106567,20
15.769034422355306,15.724020544397556,6.830541133880615,774
14.821681778014202,14.804152060359147,8.472126007080078,464
15.372700659102623,14.826232595902605,6.653961420059204,199
23.100808391908274,22.64331058273815,3.708127737045288,611
14.084327707957025,13.84301036141093,6.032379865646362,209
16.804666065696956,16.304274525561635,8.6239173412323,300
