best_fit,worst_fit,std_fit,mean_fit,n_unique_inds,better_than_parents,worst_than_parents
16.810334765288747,289474.2458596868,28834.504614310583,3534.429355996704,90,35,17
16.810334765288747,964814.8864858028,95961.59586069817,10310.879638939237,79,24,20
16.810334765288747,18548.17196868058,3811.472020356286,1165.0909232321242,65,25,25
16.397338775763778,18548.17196868058,2195.6970942399494,504.157432514705,60,19,17
16.397338775763778,81833.11471193447,8366.112547688515,1227.9004057376476,54,24,24
16.397338775763778,15306.60217428024,1517.3244645610043,239.47083091778075,47,27,25
16.397338775763778,363.43905173584244,66.01141112899562,61.24956689143527,57,27,23
16.397338775763778,255.01036756781417,41.01345862174346,52.88167072931347,52,23,23
16.397338775763778,633.4587002083272,103.48100725457738,70.86072745078789,57,29,23
16.313192747439185,16059.556075305916,1641.9466357248953,280.08569995283233,65,30,26
16.313192747439185,224.9485186272771,29.822902270086775,47.83635307029996,52,19,33
16.313192747439185,7504.992223519597,758.1501651268543,148.21719367521843,59,22,24
16.313192747439185,267.7143866031282,38.55289220939674,52.396040596298846,62,25,17
16.313192747439185,13663.027484129238,1355.4168508489354,177.35115809577582,53,20,24
16.313192747439185,3853.3004866829347,452.0134981634431,108.71937517925035,48,27,21
16.313192747439185,1315.2859821903198,182.67616258526297,77.20866793694933,56,25,23
16.313192747439185,1315.2859821903198,183.70360790133145,78.11937031240946,49,27,27
16.313192747439185,1315.2859821903198,249.3532432124318,105.26152225899428,59,27,21
16.313192747439185,1315.2859821903198,313.82833422296557,138.3078656813923,50,16,20
16.313192747439185,1315.2859821903198,276.78413643975676,121.87278420724593,39,20,20
16.313192747439185,4303476.544759693,428180.3863429242,43136.00447016877,47,13,25
16.313192747439185,6798.495681134575,687.5543886005369,169.6325975558352,38,24,30
15.298048271503973,6798.495681134575,711.2182336551596,183.691850442731,53,23,29
15.298048271503973,189856.69286507822,18977.55861840156,2253.47199132079,51,24,26
15.298048271503973,21621.56484793658,4262.449943480354,1111.182347980147,53,27,19
15.298048271503973,21641.111502772786,5112.534542612407,1493.8196827852685,53,37,23
15.298048271503973,21621.56484793658,4221.618680615556,1014.0011068500175,58,20,24
15.298048271503973,194592.36211890995,19823.183421420792,3285.274812106809,49,29,27
15.298048271503973,21635.955224658795,4374.13547155039,1082.7152938715524,54,24,30
15.298048271503973,21635.955224658795,5476.0012475625435,1821.7679856477687,58,29,21
15.298048271503973,21635.955224658795,3082.9423067324187,739.9949034818709,55,28,32
15.279953919448815,13654.810700671957,1910.205672676145,372.61221991438055,64,20,36
15.279953919448815,9188.762264896954,930.4342347480501,200.05239854902717,65,25,27
15.279953919448815,2415.1269885045062,374.8502573340979,145.6533383180011,63,27,29
15.279479027484975,1823.2093890292897,329.8118203065314,130.73099424857682,64,24,28
15.279479027484975,4693.796451675224,471.9132414811979,117.73556649175505,68,31,27
15.279479027484975,11224.810797103231,1210.4391268877923,229.45082235174377,65,23,27
15.275592229125174,79117.65034003204,7874.3102562005,881.3657838303777,60,27,31
14.770908152143786,4235.387521815641,417.97673355185117,79.40652808699657,56,27,23
14.770908152143786,215.30435694032542,19.081982605554586,38.57916508725281,45,22,24
14.770908152143786,6797.908166846309,672.7156172645172,104.79096172155418,44,30,28
14.770908152143786,336.98127263352336,30.427599672265877,40.266483779831084,41,23,29
14.770908152143786,62087.022765869995,6172.883047921626,671.8139673362609,41,25,25
14.770908152143786,58044.72028240632,5771.159277444583,623.3656290213901,45,31,27
14.770908152143786,1091.3619712885265,165.37973534902903,69.23597097853487,53,20,28
14.770014026862263,2986.8317960061777,323.220609578609,81.66378892228725,60,25,35
14.770014026862263,7404.955687631318,836.6440347221911,170.8237894105385,58,25,27
14.76985056111056,7404.955687631318,787.0558777498217,139.88522954651577,53,21,31
14.764399208845829,80.21410674881125,9.393389148319498,36.0902878731441,54,16,32
14.764399208845829,2236.655215531164,229.8861274347036,70.8240747649992,54,24,26
