best_fit,worst_fit,std_fit,mean_fit,n_unique_inds,better_than_parents,worst_than_parents
24.73337697226169,5294845.110867308,534237.2985539319,67777.14420132498,87,29,21
16.804666065696956,24317.48215752672,2758.2922185977177,524.4694191977419,65,16,16
16.804666065696956,13454.77040997826,2063.775808314132,522.7903753057288,49,21,21
16.804666065696956,13454.77040997826,1886.2636686406793,422.64014366394525,48,25,29
16.804666065696956,9727.34483960863,995.8051886045612,232.50563641913553,46,26,22
16.804666065696956,228119.50637007479,31911.107049507566,4817.016829736798,42,18,16
16.804666065696956,1611.2090290704307,393.2743503624179,211.51519939191155,34,22,24
16.804666065696956,1794.101328749922,352.8678373682886,191.5371477080702,40,21,25
16.804666065696956,228119.50637007479,26521.80261063932,3821.762139393985,42,19,25
16.804666065696956,228119.50637007479,43117.84348544001,9863.90584604291,32,21,27
16.804666065696956,140537.10355013688,13970.305964144145,1626.8526931236138,34,18,34
16.804666065696956,1794.101328749922,573.4877897055627,277.26473802807584,29,16,24
16.804666065696956,1794.101328749922,494.9719733125841,218.31735524678038,28,20,22
16.804666065696956,1611.2090290704307,450.67999414875,197.9634046293114,24,22,24
16.804666065696956,19752.27318995,2767.9391421492273,497.2957686963439,25,21,23
16.804666065696956,19752.27318995,1978.5647299278014,308.2514853038259,24,24,32
16.804666065696956,19752.27318995,1970.7971147141734,268.081779366138,20,19,35
16.804666065696956,19752.27318995,2764.389953200086,464.2070330341277,19,12,38
16.804666065696956,19752.27318995,2759.753441106062,436.3039119400341,24,18,40
16.804666065696956,19752.27318995,2759.69370275314,437.7105362380495,18,21,29
16.804666065696956,1611.2090290704307,159.57258741424278,52.43965178961924,24,19,39
16.804666065696956,58.82504351440333,6.2210483289942955,34.76391785932249,27,19,41
16.804666065696956,262.1269392564624,23.438109512273652,36.73772862705528,22,17,33
16.804666065696956,39.58297562606097,6.598012483117631,34.34545930419662,19,24,36
16.804666065696956,39.4943996417544,5.9632421731496805,35.315248510205926,15,20,34
16.804666065696956,1010.375615450072,97.16640661019231,45.515633979190724,18,21,27
16.804666065696956,149.02698254262353,12.44300769514728,36.84606780948018,16,20,42
16.804666065696956,40.28086905263855,4.188663869635317,36.56213381641578,16,24,38
16.804666065696956,40.28086905263855,3.8677847843807083,36.36536800759257,17,20,36
16.804666065696956,61.10949008536495,5.434313568247889,35.79349483731309,20,18,34
16.804666065696956,40.28086905263855,5.919409845904828,35.16932720892773,20,17,39
16.804666065696956,515.9204515261284,48.04386158056862,40.49428856393203,23,21,39
16.804666065696956,515.6445694739747,48.14684233871327,40.555333915871806,25,18,30
16.804666065696956,40.28086905263855,5.798281090805888,35.05429228988638,25,25,37
16.804666065696956,102.81546462640067,8.290972301865994,36.745759924261804,24,20,30
16.804666065696956,378914.32279106264,37697.97299917666,3824.229844678391,20,23,39
16.804666065696956,149.02698254262353,11.851074522406162,37.52506029435859,25,20,42
16.804666065696956,149.02698254262353,11.959474464755468,38.16304110633521,26,17,39
16.804666065696956,149.02698254262353,12.185861119981169,37.80261138399253,23,21,31
16.804666065696956,69.99519429520032,5.907742511811621,37.1625164520539,21,17,35
16.804666065696956,69.05402384095349,6.214663467983752,36.814118740141716,24,19,37
16.804666065696956,741.9637599856732,70.45889879993376,43.2209492125765,22,14,38
16.804666065696956,40.28086905263855,6.430574167032244,35.743132316155545,23,21,33
16.804666065696956,48.174211345497206,5.796880303072724,36.2089738573862,26,21,35
16.804666065696956,810.7139079922271,81.69627964026631,47.4238649915041,26,22,28
16.804666065696956,810.7139079922271,114.59472597920679,57.199986852502406,31,21,31
16.804666065696956,732.4648526725413,99.04810828231413,55.340872203515595,27,23,23
16.804666065696956,6958.81591000482,689.2818983731196,111.6645075323132,25,24,28
16.804666065696956,314.7267501205352,40.71078252085894,43.46548943512738,25,19,25
16.804666065696956,314.7267501205352,32.33623202216735,40.86962923014685,22,19,29
16.804666065696956,314.7267501205352,45.38599958802098,47.61948007570251,20,18,34
16.804666065696956,1917.1263906001293,194.25522200499873,65.05284926064077,24,24,32
16.804666065696956,1125.3678746103346,117.45014068877936,56.62547670390608,21,24,34
16.804666065696956,314.7267501205352,47.81143578354232,45.495158396294464,15,19,33
16.804666065696956,732.4648526725413,87.46154294235073,54.84815424834224,16,24,28
16.804666065696956,48.174211345497206,6.005324503601089,36.95109195460625,14,19,31
16.804666065696956,267.7143866031282,24.321303685756483,37.492569188966556,17,21,29
16.804666065696956,578.8569871949385,59.12471799258598,43.297402837874124,16,16,36
16.804666065696956,48.174211345497206,7.732968448421094,34.609792453225914,13,12,42
16.804666065696956,48.174211345497206,6.593761867689313,36.70195643123956,12,16,36
16.804666065696956,48.174211345497206,7.256721376177326,37.16975740369374,15,19,33
16.804666065696956,48.174211345497206,6.804296509874128,37.542693693429904,18,21,31
16.804666065696956,149.02698254262353,13.117681824262803,39.00678019024612,20,19,29
16.804666065696956,48.174211345497206,7.524015466527592,37.68778123066554,19,20,30
16.804666065696956,48.174211345497206,8.243777666123924,36.9007598907937,16,18,36
