train_fit,test_fit,train_time_seconds,random_seed
6.248007390736893,7.909514650412966,14.99629807472229,856
10.159680352760036,19.24341165337702,26.51458239555359,46
6.764987614787643,9.11064835920084,20.440665006637573,117
6.798846962657897,7.864211657083925,16.528326749801636,989
10.218513917181891,15.085074900857022,39.57798981666565,1
3.9534854012904486,5.965536710948095,25.040989875793457,58
11.415566777639986,18.24808719639734,16.065913200378418,908
5.8067967024759115,9.597364560235572,18.712423086166382,805
5.224507090668737,9.173969270016395,25.384702920913696,741
4.612652605698609,7.06535639031563,24.32431721687317,580
5.869967532513512,6.936338125221957,17.990386486053467,611
10.466965971724381,14.960700833714968,13.065139532089233,98
7.304457562171142,11.763229774238253,21.350467205047607,173
7.613081002007052,18.535056363996873,25.297043800354004,910
5.420183869736157,9.043503712016355,17.561487913131714,827
5.633391537143219,9.986380367106776,21.421196222305298,590
5.84518290116315,6.969311002951185,16.70919442176819,319
11.98864912686407,17.82379399105505,15.3031485080719,137
6.777087709221404,7.76010019352236,18.378581762313843,544
6.167767814150832,485388063515.45636,19.301905155181885,919
6.981893545775972,11.164917422836067,18.055325269699097,350
4.797629327408718,6.99894454876364,25.706904649734497,604
3.1871686986136347,6.236812776979872,27.47170853614807,686
3.0837481984299218,8.77789160185686,23.762572288513184,286
5.297676331920787,7.2900721945763225,18.88724446296692,781
2.2201235577786957,3.515959690606179,16.81938362121582,682
3.13904626895939,3.79206409253906,28.498276472091675,988
3.556491508595491,5.114610477030687,20.961463451385498,261
11.227191635482058,15.917279493503402,17.33600401878357,421
5.048790377521954,6.957226550641678,19.71127986907959,273
